disease1,disease2
261,265
261,132
261,294
188,143
171,52
171,196
171,29
170,215
104,180
146,27
146,28
34,12
57,139
227,188
227,297
164,194
105,138
225,305
225,152
225,18
127,56
127,105
55,190
161,36
262,224
156,62
156,239
290,214
290,286
290,46
290,172
8,228
8,3
8,148
226,55
226,306
98,76
98,109
98,204
98,161
250,283
174,144
307,0
81,207
11,250
11,43
11,118
91,226
12,96
54,31
27,122
200,285
103,85
86,98
86,184
83,295
41,57
41,238
73,23
214,169
49,150
187,101
243,44
243,112
62,160
165,255
71,208
223,213
223,50
40,87
185,131
185,110
77,199
181,32
181,90
51,86
51,13
13,279
13,7
13,127
42,4
279,292
279,275
60,137
118,147
207,178
173,308
300,15
300,54
300,9
