disease,gene,score
301.0,3848.0,0.12
301.0,2149.0,0.22
301.0,4944.0,0.46
301.0,3816.0,0.12
301.0,6450.0,0.24
301.0,8260.0,0.14
301.0,5979.0,0.16
301.0,4261.0,0.18
301.0,4324.0,0.1
301.0,8534.0,0.72
301.0,9105.0,0.5
301.0,5738.0,0.16
301.0,4265.0,0.24
301.0,1268.0,0.52
301.0,3029.0,0.16
301.0,8585.0,0.26
301.0,4782.0,0.1
301.0,7453.0,0.4
301.0,4148.0,0.22
301.0,489.0,0.14
301.0,7476.0,0.16
301.0,259.0,0.26
301.0,7981.0,0.2
301.0,5091.0,0.28
301.0,1109.0,0.12
301.0,8718.0,0.12
301.0,3470.0,0.16
301.0,8247.0,0.42
301.0,7192.0,0.2
301.0,7598.0,0.22
301.0,3741.0,0.12
301.0,2313.0,0.24
301.0,5038.0,0.1
301.0,4061.0,0.22
301.0,5120.0,0.24
301.0,5252.0,0.58
301.0,2008.0,0.14
301.0,2660.0,0.28
301.0,8047.0,0.26
301.0,5416.0,0.4
301.0,2311.0,0.1
301.0,120.0,0.12
301.0,8656.0,0.14
301.0,3647.0,0.1
301.0,2398.0,0.24
301.0,2408.0,0.3
301.0,3009.0,0.24
301.0,7271.0,0.2
301.0,1067.0,0.1
301.0,5236.0,0.2
301.0,1230.0,0.16
301.0,3896.0,0.2
301.0,8069.0,0.18
301.0,2788.0,0.12
301.0,2593.0,0.14
301.0,1269.0,0.16
301.0,4809.0,0.14
301.0,4963.0,0.24
301.0,6593.0,0.14
301.0,1200.0,0.32
301.0,1953.0,0.12
301.0,3810.0,0.12
301.0,1622.0,0.28
301.0,8915.0,0.12
301.0,678.0,0.18
301.0,1769.0,0.14
301.0,973.0,0.4
301.0,8140.0,0.16
301.0,2141.0,0.18
301.0,9146.0,0.16
301.0,5933.0,0.12
301.0,4905.0,0.16
301.0,7966.0,0.14
301.0,6301.0,0.38
301.0,3743.0,0.12
301.0,7726.0,0.12
301.0,4294.0,0.12
301.0,8042.0,0.1
301.0,6755.0,0.16
301.0,1540.0,0.28
301.0,5986.0,0.18
301.0,676.0,0.42
301.0,3133.0,0.14
301.0,7796.0,0.12
301.0,943.0,0.18
301.0,5450.0,0.1
301.0,1848.0,0.16
301.0,4803.0,0.16
301.0,1523.0,0.58
301.0,8943.0,0.22
301.0,6827.0,0.16
301.0,8768.0,0.56
301.0,1517.0,0.34
301.0,7287.0,0.34
301.0,2675.0,0.6
301.0,8763.0,0.14
301.0,1706.0,0.2
301.0,2336.0,0.2
301.0,3019.0,0.28
301.0,7866.0,0.14
301.0,6178.0,0.24
301.0,8649.0,0.1
301.0,3334.0,0.1
301.0,1618.0,0.52
301.0,478.0,0.18
301.0,2773.0,0.18
301.0,4710.0,0.18
301.0,8430.0,0.2
301.0,3337.0,0.12
301.0,5198.0,0.2
301.0,2459.0,0.16
301.0,6620.0,0.54
301.0,3227.0,0.12
301.0,7175.0,0.12
301.0,76.0,0.12
301.0,8164.0,0.12
301.0,2228.0,0.18
301.0,4410.0,0.26
301.0,3689.0,0.14
301.0,7846.0,0.18
301.0,4594.0,0.22
301.0,2988.0,0.16
301.0,1664.0,0.12
301.0,799.0,0.26
301.0,9116.0,0.22
301.0,370.0,0.12
301.0,2016.0,0.18
301.0,435.0,0.38
301.0,9224.0,0.26
301.0,7025.0,0.2
301.0,5310.0,0.12
301.0,2904.0,0.22
301.0,6592.0,0.3
301.0,4417.0,0.3
301.0,5849.0,0.18
301.0,4286.0,0.16
301.0,2155.0,0.5
301.0,8807.0,0.14
301.0,3941.0,0.14
301.0,8142.0,0.24
301.0,295.0,0.14
301.0,8685.0,0.4
301.0,3511.0,0.16
301.0,4772.0,0.16
301.0,6319.0,0.18
301.0,6511.0,0.12
301.0,8721.0,0.1
301.0,414.0,0.38
301.0,4074.0,0.3
301.0,7058.0,0.42
301.0,7921.0,0.16
301.0,8980.0,0.34
301.0,5942.0,0.12
301.0,3588.0,0.28
301.0,8005.0,0.1
301.0,2774.0,0.16
301.0,5718.0,0.14
