mirna,disease
653,115
439,115
558,115
226,89
219,89
231,89
659,89
62,162
318,162
226,162
212,162
655,162
219,162
569,162
544,162
579,162
296,162
326,162
373,162
297,162
30,162
392,162
244,162
439,162
558,162
105,162
638,162
314,162
416,68
340,68
25,68
654,195
419,37
392,37
569,181
416,181
657,181
85,181
207,181
203,181
562,181
95,300
185,300
559,73
296,73
453,73
416,73
657,73
85,73
0,73
231,73
527,73
207,73
331,12
212,12
655,12
592,12
544,12
548,12
504,12
320,12
328,12
266,12
632,12
244,12
231,12
295,12
630,12
399,12
13,12
230,21
301,21
559,21
200,21
592,21
635,21
107,21
596,21
296,21
453,21
85,21
0,21
373,21
244,21
64,21
231,21
488,21
53,21
558,21
267,21
159,21
598,21
700,21
592,229
635,229
425,229
453,229
0,229
610,229
307,229
400,229
419,229
591,229
681,229
570,229
104,229
510,229
270,229
684,229
20,229
331,224
226,224
448,224
702,224
95,224
296,224
453,224
657,224
185,224
328,224
266,224
407,224
307,224
244,224
473,224
295,224
458,224
139,224
235,224
294,224
15,224
325,224
597,224
684,224
281,224
492,224
469,224
431,224
520,224
518,224
501,224
142,224
234,224
91,50
373,50
402,50
400,50
419,50
392,50
88,50
151,50
613,50
505,50
82,50
140,50
214,50
604,50
518,50
501,50
64,283
448,242
244,242
488,242
73,242
159,242
314,242
14,242
230,149
62,149
318,149
164,149
226,149
212,149
301,149
449,149
534,149
70,149
655,149
516,149
332,149
440,149
19,149
219,149
559,149
200,149
569,149
323,149
448,149
702,149
385,149
592,149
635,149
312,149
35,149
544,149
249,149
95,149
91,149
107,149
596,149
170,149
296,149
453,149
621,149
546,149
416,149
657,149
504,149
543,149
196,149
85,149
326,149
0,149
185,149
340,149
373,149
442,149
266,149
147,149
310,149
97,149
402,149
428,149
58,149
366,149
610,149
307,149
210,149
30,149
589,149
632,149
144,149
365,149
400,149
419,149
213,149
215,149
526,149
78,149
208,149
291,149
654,149
392,149
662,149
244,149
64,149
572,149
232,149
603,149
176,149
231,149
488,149
591,149
433,149
168,149
295,149
458,149
451,149
650,149
25,149
383,149
139,149
648,149
53,149
509,149
148,149
439,149
558,149
678,149
611,149
712,149
88,149
430,149
686,149
372,149
681,149
570,149
104,149
510,149
134,149
515,149
640,149
65,149
287,149
202,149
183,149
459,149
87,149
73,149
270,149
630,149
193,149
394,149
476,149
267,149
542,149
159,149
565,149
105,149
51,149
102,149
401,149
505,149
656,149
685,149
50,149
82,149
283,149
117,149
387,149
18,149
192,149
140,149
67,149
167,149
298,149
619,149
1,149
684,149
321,149
667,149
49,149
399,149
454,149
337,149
519,149
356,149
522,149
262,149
27,149
474,149
38,149
367,149
554,149
606,149
573,149
498,149
604,149
12,149
299,149
199,149
669,149
178,149
668,149
555,149
705,149
39,149
520,149
222,149
518,149
220,149
693,149
314,149
616,149
501,149
142,149
466,149
200,79
296,79
0,79
373,79
402,79
400,79
419,79
392,79
501,79
142,79
226,143
19,143
249,143
95,143
596,143
373,143
297,143
407,143
147,143
310,143
402,143
428,143
419,143
599,143
678,143
707,143
697,143
434,143
694,143
63,143
444,143
344,143
710,143
305,143
246,143
10,143
2,143
286,143
705,143
142,143
430,203
230,136
62,136
226,136
449,136
70,136
381,136
655,136
559,136
200,136
437,136
323,136
448,136
536,136
