mirna,disease
653,62
653,225
653,224
653,90
439,51
439,136
439,244
439,39
439,207
439,37
439,251
439,139
439,46
439,138
439,159
439,293
439,12
439,85
439,156
439,90
439,128
439,206
439,42
439,227
439,77
439,125
439,94
558,195
558,189
558,268
558,71
558,64
558,256
558,199
558,219
558,39
558,85
558,68
558,50
558,127
558,245
558,143
558,153
558,231
558,24
558,122
558,7
558,36
558,42
558,174
226,141
226,153
226,175
226,275
226,86
226,176
226,7
226,127
226,199
226,24
226,36
226,96
226,166
226,293
226,203
226,79
219,243
219,128
219,122
219,196
219,254
219,206
219,61
219,225
219,227
219,161
219,282
219,251
219,28
219,229
219,289
219,37
219,77
219,240
219,277
219,224
219,24
219,86
219,90
219,311
219,143
219,261
219,27
231,174
231,144
231,17
231,309
231,115
231,27
231,251
231,300
231,181
231,128
231,62
231,254
231,127
231,157
231,240
231,216
231,199
231,9
231,256
231,39
231,176
231,50
231,94
231,68
659,75
659,212
659,128
62,224
62,15
62,156
62,127
62,231
62,13
62,17
62,277
62,110
62,251
62,307
318,90
318,76
318,143
318,175
318,110
318,242
318,277
318,96
318,216
318,34
318,68
318,233
318,264
212,76
212,263
212,91
212,122
212,207
212,231
212,143
212,50
212,9
212,195
212,110
212,300
655,293
655,44
655,227
655,263
655,265
655,156
655,254
655,94
655,71
655,244
655,98
655,105
655,176
655,206
655,143
655,91
655,61
569,142
569,136
569,243
569,245
569,256
569,24
569,37
569,146
569,293
569,176
569,175
544,176
544,139
544,73
544,94
544,224
544,128
544,210
544,199
544,161
544,307
579,71
579,277
579,189
579,196
579,242
579,115
579,112
296,282
296,203
296,7
296,115
296,153
296,181
296,268
296,254
296,90
296,139
296,50
296,168
296,186
296,142
296,75
296,251
296,17
296,216
296,68
296,256
296,36
296,51
296,98
296,245
296,206
296,225
296,89
296,293
296,94
326,7
326,199
326,94
326,244
326,138
326,168
326,216
373,256
373,206
373,174
373,7
373,17
373,251
373,24
373,139
373,300
373,68
373,224
373,71
373,115
373,225
373,216
373,186
373,212
373,215
373,70
373,166
373,287
373,189
373,283
373,112
373,268
373,77
373,94
373,176
373,75
373,89
373,128
373,219
373,106
373,155
297,36
297,215
297,159
297,189
297,64
297,289
297,207
297,153
30,144
30,203
30,79
30,195
30,176
30,94
30,181
30,143
30,46
30,189
30,219
30,277
392,159
392,216
392,227
392,29
392,7
392,141
392,27
392,146
392,186
392,283
392,250
392,189
392,64
392,138
392,254
392,106
392,244
392,263
392,251
392,110
392,68
392,155
392,139
392,195
392,17
392,9
392,12
392,129
392,240
392,28
244,90
244,94
244,203
244,106
244,287
244,227
244,142
244,219
244,256
244,61
244,75
244,29
244,225
244,50
244,195
244,159
244,240
244,251
244,181
244,176
244,138
244,282
244,155
244,216
244,212
244,206
244,289
244,37
244,157
244,268
244,64
244,115
244,68
244,300
244,15
244,309
244,76
244,7
244,244
244,283
244,89
105,137
105,189
105,153
105,12
105,7
105,309
105,143
105,254
105,161
105,76
105,287
105,263
105,75
105,203
105,175
638,24
638,29
314,287
314,89
314,159
314,212
314,186
314,298
314,68
314,227
314,251
314,174
314,64
314,189
314,115
314,137
314,268
314,122
314,245
314,27
416,39
416,203
416,36
416,157
416,216
416,206
416,215
416,24
416,261
416,264
416,242
416,189
416,85
416,142
416,13
340,287
340,233
340,17
340,27
340,283
340,199
340,216
340,174
340,36
340,106
340,300
340,75
340,44
340,181
340,115
340,227
340,89
340,112
25,240
25,181
25,89
25,216
25,106
25,196
25,243
25,263
25,85
25,17
25,189
25,61
25,143
25,70
654,186
654,110
654,9
654,7
654,240
654,71
654,229
654,46
654,242
654,263
419,68
419,293
419,71
419,153
419,136
419,141
419,128
419,300
419,268
419,94
419,166
419,62
419,207
419,289
419,157
419,282
419,245
419,75
419,17
419,283
419,7
419,231
419,224
419,162
419,15
419,90
419,85
419,115
657,159
657,174
657,27
657,219
657,125
657,127
85,309
85,28
85,268
85,77
85,159
85,224
85,127
85,293
85,71
207,157
207,12
207,229
207,98
203,122
203,7
203,46
203,293
562,68
95,261
95,73
95,76
95,79
95,91
95,37
95,161
95,7
185,37
185,244
185,29
185,106
185,36
185,129
185,311
185,90
185,254
185,229
185,283
185,159
185,196
185,199
185,153
185,309
185,28
185,7
185,112
185,251
559,137
559,139
559,143
559,292
559,68
559,264
559,300
559,146
559,141
559,227
559,207
559,79
559,64
559,76
559,51
559,181
559,251
559,233
559,225
559,195
559,309
559,212
559,287
559,50
453,44
453,254
453,293
453,186
453,15
453,311
453,156
453,71
453,159
453,227
453,142
453,176
453,161
453,138
453,139
453,28
453,251
453,168
453,46
453,7
453,245
453,90
0,61
0,196
0,29
0,68
0,127
0,287
0,125
0,115
0,244
0,219
0,240
0,106
0,283
0,142
0,155
0,251
0,245
0,181
0,94
0,289
0,224
0,231
0,268
0,128
0,168
0,216
0,46
0,225
0,24
0,293
0,17
0,282
0,143
0,311
0,176
0,129
0,203
0,256
0,159
0,138
527,243
527,246
331,139
331,143
331,61
331,212
331,166
331,219
331,244
331,227
331,225
331,86
331,142
331,156
592,127
592,50
592,37
592,125
592,311
592,233
592,143
592,42
592,199
592,207
592,168
592,77
592,244
592,86
592,13
592,292
548,307
548,282
548,42
548,189
548,51
548,17
548,98
548,129
548,251
548,105
548,227
548,146
548,64
504,264
504,141
504,76
504,219
504,210
320,233
320,254
320,175
320,168
320,189
320,96
320,70
320,181
320,243
320,28
320,242
320,50
320,15
320,176
320,256
320,61
320,265
328,231
328,251
328,71
328,51
328,27
328,89
328,300
328,282
266,265
266,61
266,229
266,142
266,251
266,143
266,250
266,129
266,89
266,7
266,29
266,166
266,62
266,128
266,64
266,263
266,94
266,28
266,287
632,196
632,142
632,73
632,157
632,137
632,39
632,90
632,250
632,110
295,168
295,263
295,61
295,7
295,64
295,219
295,106
295,275
295,216
295,70
295,143
295,309
630,71
630,311
630,215
630,181
630,307
630,242
630,94
630,207
630,90
630,263
399,263
399,186
399,224
399,268
399,136
399,309
13,287
13,79
230,161
230,277
230,79
230,210
230,242
230,127
230,125
230,292
230,9
230,224
230,293
230,225
301,84
301,85
301,287
301,94
301,12
301,115
301,224
301,216
200,122
200,61
200,28
200,229
200,12
200,156
200,264
200,227
200,275
635,246
635,227
635,17
635,128
635,287
635,115
635,224
635,64
635,77
635,275
635,110
635,166
635,240
635,181
635,76
107,76
107,129
107,36
107,42
107,210
107,166
107,268
107,206
107,231
107,256
107,283
107,275
107,195
107,50
107,224
107,68
107,29
107,265
107,89
107,51
596,68
596,212
596,216
596,196
596,307
596,7
596,186
596,51
596,242
596,293
596,137
596,71
596,231
596,110
596,219
596,76
596,61
596,282
596,289
596,292
596,112
596,29
64,203
64,36
64,174
64,143
64,206
64,73
64,79
64,15
64,155
64,300
64,115
64,261
64,225
64,216
64,50
488,199
488,161
488,203
488,244
488,256
488,27
488,159
488,282
488,293
488,13
488,15
488,250
488,24
488,94
488,240
488,110
488,50
53,128
53,68
53,153
53,98
53,13
53,283
267,144
267,300
267,245
267,227
267,159
267,244
267,76
267,264
267,75
267,176
267,233
159,153
159,256
159,137
159,75
159,181
159,216
159,224
159,155
159,146
159,142
159,90
159,229
159,51
159,251
159,207
159,71
159,157
159,89
159,46
159,15
159,311
159,268
159,206
159,85
598,268
598,36
598,96
700,29
700,300
700,174
700,36
700,157
700,224
425,15
425,68
425,212
425,51
425,157
425,176
425,243
425,196
425,292
425,309
425,137
425,98
425,293
425,256
610,277
610,175
610,227
610,24
610,203
610,115
610,77
610,282
610,29
610,98
307,168
307,17
307,156
307,215
307,75
307,166
307,233
307,139
307,24
307,283
307,77
400,231
400,129
400,206
400,176
400,240
400,142
400,282
400,212
400,62
400,196
400,181
400,39
400,311
400,174
400,89
400,309
400,112
400,186
400,254
400,203
400,77
400,64
591,268
591,174
591,94
591,287
591,79
591,300
591,264
591,112
591,283
591,50
591,29
591,90
591,106
591,227
591,251
591,224
591,129
591,127
681,206
681,157
681,176
681,122
681,240
681,174
681,153
681,98
681,292
681,243
681,251
681,227
570,225
570,176
570,207
570,143
570,264
570,168
570,79
570,142
570,98
104,112
104,261
104,240
104,162
104,189
104,73
104,245
104,115
104,283
104,225
104,139
104,298
510,245
510,42
510,233
510,15
510,61
510,283
510,76
510,166
270,196
270,112
270,275
270,307
270,129
270,89
270,177
270,233
684,242
684,27
684,261
684,98
684,275
684,71
684,34
684,125
684,77
684,90
684,268
684,195
20,44
20,206
20,240
448,196
448,268
448,161
448,86
448,75
448,189
448,215
702,79
702,24
702,90
702,251
702,94
702,298
702,86
702,127
407,161
407,146
407,149
407,176
407,137
407,9
407,28
407,254
407,264
473,106
473,105
473,70
473,243
473,206
458,176
458,90
458,77
458,256
458,76
458,189
458,144
458,168
458,242
458,174
139,210
139,159
139,77
139,242
139,264
139,263
139,68
139,98
139,225
139,70
235,64
235,256
235,137
235,44
235,245
235,76
294,16
294,115
294,122
294,75
15,84
15,264
325,245
597,141
281,44
281,264
281,112
