parent,child
478,8442
8384,574
7144,211
3364,4286
1377,1434
6287,4417
6287,5014
7297,10123
1377,9121
1377,9077
1377,6109
1377,9299
1377,9733
1377,3576
1377,8864
1377,1073
1377,3922
1377,9764
1377,2202
1377,2352
1377,1739
1377,2295
7297,6990
1377,7297
1377,2653
7297,8563
7297,9459
7297,4846
1377,6530
1377,4757
1377,1709
1377,5381
7297,612
1377,880
1377,10553
6287,4808
1377,3247
1377,8659
1377,6662
6287,3452
23,2676
616,10847
23,616
616,6558
616,6378
616,9238
9653,9352
23,9352
9653,4072
3629,4072
23,347
23,5534
23,4928
23,8787
23,9991
3629,10673
9653,5476
3629,5476
9653,6525
23,6525
9653,2487
3629,2487
9653,1959
3629,1959
3629,6531
3629,5636
9653,7255
3629,7255
1377,10234
9400,10234
9515,2221
9653,2221
9515,10570
9653,10570
9515,697
3629,9911
1377,475
1377,10809
1377,4137
3629,4137
3629,9083
3629,8793
1377,6798
1377,8789
3629,4905
1377,9141
9653,9141
3629,7374
3629,7276
1377,6854
1377,2921
1377,2403
3629,9952
1377,6716
9515,3053
1377,2938
2027,10610
2027,10081
7664,1306
4447,8883
1795,3140
1094,1657
2407,1657
1795,3637
5522,7549
5707,7549
586,3186
1987,3186
3809,2028
8445,6589
2828,1533
6790,2049
2838,2049
6790,2814
6790,5665
280,6062
118,2751
586,7617
3629,4521
3629,10602
7297,7755
6378,4645
5814,7873
8,6527
9022,3040
5226,3699
5226,8672
9022,5643
3534,1294
3534,3537
3534,7355
3534,10143
3534,3480
3534,6718
3534,10219
3534,2284
3534,9907
10322,5969
7987,3502
8656,6943
2007,2631
41,2631
6963,7765
103,3110
862,3110
554,1428
7307,1428
554,8140
7307,8140
2970,7806
7144,9343
8,7890
290,7890
9060,19
9111,2841
2758,856
7579,3005
7579,10139
7579,4077
7579,1331
3050,10484
3050,6254
3050,2184
3050,2045
3431,9516
7579,1112
2073,6396
9111,7447
378,3672
6120,1233
907,1786
6120,9935
1674,2043
2027,5599
2007,5824
41,5824
5610,7407
139,274
7099,5520
7099,4134
7099,7077
10439,3745
140,1292
10316,7384
9893,7384
7090,9387
7090,10270
103,2011
8445,2011
4827,2316
8,8165
2830,5447
8165,1763
100,5515
103,5515
8,6756
8,3932
8,8336
8,4612
8,10736
8,2690
8,2778
4447,10525
4447,9581
8,7876
7275,3204
148,4775
3809,4411
1795,4411
4131,4411
5577,6214
5913,6214
3265,9593
7826,7446
7491,7446
7446,3762
290,3762
9513,1262
4554,1262
7491,1396
103,1396
4554,1396
4554,10352
4554,5186
7491,8293
4182,8293
9513,8293
4554,8293
10555,8595
4182,8595
9513,8595
4554,8595
290,8595
103,5310
6005,5310
4554,5310
4554,4734
8150,2447
598,9379
9513,9379
1021,9724
1907,9724
1693,9724
5674,9724
10070,9724
1907,874
1300,874
2184,1934
2184,1704
5079,630
5079,620
5079,10590
1335,3251
2045,8656
9018,888
1908,6850
7427,247
4602,247
9079,1077
1151,1077
9849,10828
825,342
9655,10211
7664,7987
7664,786
7664,2558
2073,6949
