mirna1,mirna2
185,190
190,185
185,263
263,185
185,328
328,185
185,30
30,185
190,263
263,190
190,328
328,190
190,30
30,190
263,328
328,263
263,30
30,263
328,30
30,328
373,402
402,373
373,392
392,373
373,142
142,373
373,331
331,373
373,226
226,373
373,428
428,373
373,662
662,373
402,392
392,402
402,142
142,402
402,331
331,402
402,226
226,402
402,428
428,402
402,662
662,402
392,142
142,392
392,331
331,392
392,226
226,392
392,428
428,392
392,662
662,392
142,331
331,142
142,226
226,142
142,428
428,142
142,662
662,142
331,226
226,331
331,428
428,331
331,662
662,331
226,428
428,226
226,662
662,226
428,662
662,428
400,494
494,400
400,309
309,400
494,309
309,494
295,458
458,295
101,364
364,101
650,184
184,650
650,631
631,650
650,14
14,650
184,631
631,184
184,14
14,184
631,14
14,631
293,383
383,293
293,5
5,293
383,5
5,383
139,648
648,139
527,543
543,527
527,196
196,527
543,196
196,543
439,658
658,439
439,137
137,439
439,678
678,439
658,137
137,658
658,678
678,658
137,678
678,137
681,388
388,681
681,510
510,681
681,570
570,681
681,375
375,681
681,11
11,681
388,510
510,388
388,570
570,388
388,375
375,388
388,11
11,388
510,570
570,510
510,375
375,510
510,11
11,510
570,375
375,570
570,11
11,570
375,11
11,375
639,343
343,639
234,676
676,234
234,706
706,234
234,251
251,234
676,706
706,676
676,251
251,676
706,251
251,706
465,230
230,465
465,301
301,465
465,449
449,465
465,86
86,465
465,19
19,465
465,405
405,465
465,700
700,465
230,301
301,230
230,449
449,230
230,86
86,230
230,19
19,230
230,405
405,230
230,700
700,230
301,449
449,301
301,86
86,301
301,19
19,301
301,405
405,301
301,700
700,301
449,86
86,449
449,19
19,449
449,405
405,449
449,700
700,449
86,19
19,86
86,405
405,86
86,700
700,86
19,405
405,19
19,700
700,19
405,700
700,405
384,212
212,384
352,232
232,352
499,395
395,499
530,45
45,530
416,85
85,416
416,657
657,416
85,657
657,85
698,128
128,698
159,565
565,159
159,105
105,159
565,105
105,565
512,297
297,512
512,407
407,512
297,407
407,297
208,627
627,208
473,702
702,473
661,545
545,661
600,489
489,600
231,488
488,231
215,91
91,215
215,526
526,215
215,213
213,215
215,140
140,215
91,526
526,91
91,213
213,91
91,140
140,91
526,213
213,526
526,140
140,526
213,140
140,213
248,26
26,248
567,611
611,567
567,536
536,567
567,712
712,567
611,536
536,611
611,712
712,611
536,712
712,536
191,175
175,191
296,453
453,296
485,491
491,485
485,96
96,485
485,294
294,485
485,194
194,485
485,571
571,485
485,283
283,485
485,659
659,485
485,359
359,485
485,302
302,485
485,61
61,485
485,281
281,485
485,274
274,485
485,380
380,485
485,150
150,485
485,563
563,485
485,695
695,485
491,96
96,491
491,294
294,491
491,194
194,491
491,571
571,491
491,283
283,491
491,659
659,491
491,359
359,491
491,302
302,491
491,61
61,491
491,281
281,491
491,274
274,491
491,380
380,491
491,150
150,491
491,563
563,491
491,695
695,491
96,294
294,96
96,194
194,96
96,571
571,96
96,283
283,96
96,659
659,96
96,359
359,96
96,302
302,96
96,61
61,96
96,281
281,96
96,274
274,96
96,380
380,96
96,150
150,96
96,563
563,96
96,695
695,96
294,194
194,294
294,571
571,294
294,283
283,294
294,659
659,294
294,359
359,294
294,302
302,294
294,61
61,294
294,281
281,294
294,274
274,294
294,380
380,294
294,150
150,294
294,563
563,294
294,695
695,294
194,571
571,194
194,283
283,194
194,659
659,194
194,359
359,194
194,302
302,194
194,61
61,194
194,281
281,194
194,274
274,194
194,380
380,194
194,150
150,194
194,563
563,194
194,695
695,194
571,283
283,571
571,659
659,571
571,359
359,571
571,302
302,571
571,61
61,571
571,281
281,571
571,274
274,571
571,380
380,571
571,150
150,571
571,563
563,571
571,695
695,571
283,659
659,283
283,359
359,283
283,302
302,283
283,61
61,283
283,281
281,283
283,274
274,283
283,380
380,283
283,150
150,283
283,563
563,283
283,695
695,283
659,359
359,659
659,302
302,659
659,61
61,659
659,281
281,659
659,274
274,659
659,380
380,659
659,150
150,659
659,563
563,659
659,695
695,659
359,302
302,359
359,61
61,359
359,281
281,359
359,274
274,359
359,380
380,359
359,150
150,359
359,563
563,359
359,695
695,359
302,61
61,302
302,281
281,302
302,274
274,302
302,380
380,302
302,150
150,302
302,563
563,302
302,695
695,302
61,281
281,61
61,274
274,61
61,380
380,61
61,150
150,61
61,563
563,61
61,695
695,61
281,274
274,281
281,380
380,281
281,150
150,281
281,563
563,281
281,695
695,281
274,380
380,274
274,150
150,274
274,563
563,274
274,695
695,274
380,150
150,380
380,563
563,380
380,695
695,380
150,563
563,150
150,695
695,150
563,695
695,563
487,538
538,487
487,447
447,487
538,447
447,538
699,169
169,699
610,307
307,610
88,430
430,88
88,686
686,88
88,372
372,88
88,455
455,88
430,686
686,430
430,372
372,430
430,455
455,430
686,372
372,686
686,455
455,686
372,455
455,372
51,102
102,51
50,280
280,50
50,56
56,50
280,56
56,280
151,613
613,151
151,460
460,151
613,460
460,613
656,34
34,656
697,434
434,697
697,444
444,697
434,444
444,434
59,417
417,59
59,117
117,59
59,41
41,59
417,117
117,417
417,41
41,417
117,41
41,117
368,361
361,368
368,23
23,368
361,23
23,361
119,258
258,119
119,298
298,119
258,298
298,258
619,129
129,619
211,519
519,211
211,547
547,211
211,415
415,211
211,356
356,211
211,229
229,211
211,413
413,211
211,689
689,211
519,547
547,519
519,415
415,519
519,356
356,519
519,229
229,519
519,413
413,519
519,689
689,519
547,415
415,547
547,356
356,547
547,229
229,547
547,413
413,547
547,689
689,547
415,356
356,415
415,229
229,415
415,413
413,415
415,689
689,415
356,229
229,356
356,413
413,356
356,689
689,356
229,413
413,229
229,689
689,229
413,689
689,413
49,264
264,49
554,500
500,554
554,38
38,554
554,606
606,554
554,46
46,554
554,20
20,554
554,284
284,554
554,99
99,554
554,379
379,554
554,511
511,554
554,498
498,554
554,72
72,554
554,443
443,554
554,424
424,554
554,367
367,554
554,604
604,554
554,445
445,554
554,696
696,554
554,83
83,554
554,393
393,554
554,12
12,554
554,155
155,554
554,245
245,554
500,38
38,500
500,606
606,500
500,46
46,500
500,20
20,500
500,284
284,500
500,99
99,500
500,379
379,500
500,511
511,500
500,498
498,500
500,72
72,500
500,443
443,500
500,424
424,500
500,367
367,500
500,604
604,500
500,445
445,500
500,696
696,500
500,83
83,500
500,393
393,500
500,12
12,500
500,155
155,500
500,245
245,500
38,606
606,38
38,46
46,38
38,20
20,38
38,284
284,38
38,99
99,38
38,379
379,38
38,511
511,38
38,498
498,38
38,72
72,38
38,443
443,38
38,424
424,38
38,367
367,38
38,604
604,38
38,445
445,38
38,696
696,38
38,83
83,38
38,393
393,38
38,12
12,38
38,155
155,38
38,245
245,38
606,46
46,606
606,20
20,606
606,284
284,606
606,99
99,606
606,379
379,606
606,511
511,606
606,498
498,606
606,72
72,606
606,443
443,606
606,424
424,606
606,367
367,606
606,604
604,606
606,445
445,606
606,696
696,606
606,83
83,606
606,393
393,606
606,12
12,606
606,155
155,606
606,245
245,606
46,20
20,46
46,284
284,46
46,99
99,46
46,379
379,46
46,511
511,46
46,498
498,46
46,72
72,46
46,443
443,46
46,424
424,46
46,367
367,46
46,604
604,46
46,445
445,46
46,696
696,46
46,83
83,46
46,393
393,46
46,12
12,46
46,155
155,46
46,245
245,46
20,284
284,20
20,99
99,20
20,379
379,20
20,511
511,20
20,498
498,20
20,72
72,20
20,443
443,20
20,424
424,20
20,367
367,20
20,604
604,20
20,445
445,20
20,696
696,20
20,83
83,20
20,393
393,20
20,12
12,20
20,155
155,20
20,245
245,20
284,99
99,284
284,379
379,284
284,511
511,284
284,498
498,284
284,72
72,284
284,443
443,284
284,424
424,284
284,367
367,284
284,604
604,284
284,445
445,284
284,696
696,284
284,83
83,284
284,393
393,284
284,12
12,284
284,155
155,284
284,245
245,284
99,379
379,99
99,511
511,99
99,498
498,99
99,72
72,99
99,443
443,99
99,424
424,99
99,367
367,99
99,604
604,99
99,445
445,99
99,696
696,99
99,83
83,99
99,393
393,99
99,12
12,99
99,155
155,99
99,245
245,99
379,511
511,379
379,498
498,379
379,72
72,379
379,443
443,379
379,424
424,379
379,367
367,379
379,604
604,379
379,445
445,379
379,696
696,379
379,83
83,379
379,393
393,379
379,12
12,379
379,155
155,379
379,245
245,379
511,498
498,511
511,72
72,511
511,443
443,511
511,424
424,511
511,367
367,511
511,604
604,511
511,445
445,511
511,696
696,511
511,83
83,511
511,393
393,511
511,12
12,511
511,155
155,511
511,245
245,511
498,72
72,498
498,443
443,498
498,424
424,498
498,367
367,498
498,604
604,498
498,445
445,498
498,696
696,498
498,83
83,498
498,393
393,498
498,12
12,498
498,155
155,498
498,245
245,498
72,443
443,72
72,424
424,72
72,367
367,72
72,604
604,72
72,445
445,72
72,696
696,72
72,83
83,72
72,393
393,72
72,12
12,72
72,155
