mirna,disease
350,292
596,292
277,292
366,292
688,292
382,292
360,292
310,292
396,292
346,292
498,292
289,292
151,292
696,292
249,292
520,292
225,292
509,292
630,292
326,292
578,292
307,292
55,149
507,149
403,149
533,149
417,149
689,149
71,149
527,149
690,149
32,149
155,149
574,149
316,149
642,149
443,149
43,149
602,149
371,149
398,149
214,13
374,13
31,13
99,13
237,13
362,13
674,13
676,13
560,13
590,13
601,13
543,13
423,13
306,13
614,13
137,13
454,13
607,13
450,13
464,13
675,13
363,13
269,13
507,13
704,13
359,13
575,13
390,13
278,13
24,13
245,13
430,138
389,138
264,138
708,138
532,138
37,138
684,138
269,138
330,138
143,138
459,138
197,138
399,138
394,138
446,138
525,138
91,138
508,138
277,138
641,138
405,138
17,138
308,138
80,138
683,138
152,138
319,138
689,138
627,138
0,138
246,221
420,221
141,221
7,221
506,221
108,221
333,221
523,221
199,221
39,221
513,221
614,221
47,221
195,221
444,221
470,91
545,91
54,91
359,91
222,91
97,91
551,91
137,91
393,91
261,91
409,91
623,91
7,91
125,91
615,91
460,91
313,91
672,91
389,91
402,91
382,91
478,73
604,73
660,73
172,73
48,73
43,73
689,73
309,73
399,73
414,73
236,73
59,73
348,73
18,73
381,73
427,73
30,73
575,73
531,73
612,73
651,73
354,73
550,161
440,161
518,161
222,161
574,161
272,161
32,161
422,161
580,161
86,161
42,161
437,161
417,161
591,161
681,161
278,161
82,161
619,161
239,161
551,161
151,161
502,161
197,161
22,161
198,161
529,161
503,153
552,153
171,153
449,153
384,153
110,153
219,153
259,153
336,153
362,153
428,153
473,153
24,153
245,153
250,153
542,153
479,153
707,153
8,153
311,153
544,153
297,153
455,153
14,153
317,153
315,153
153,153
161,153
443,153
166,153
593,153
504,153
205,153
202,279
212,279
712,279
180,279
309,279
138,279
123,279
336,279
352,279
538,279
105,279
536,279
466,279
436,279
408,279
312,279
26,279
31,279
277,279
498,279
386,279
267,279
345,279
177,279
607,279
232,279
484,279
204,279
619,279
376,279
123,184
670,184
333,184
524,184
587,184
673,184
384,184
3,184
518,184
86,184
685,184
694,184
198,184
462,184
687,184
232,184
683,184
121,184
642,184
268,184
219,184
699,184
605,184
646,225
709,225
226,225
276,225
677,225
161,225
535,225
536,225
314,225
167,225
28,225
497,225
137,225
5,225
17,225
316,225
411,225
708,225
445,225
128,225
114,225
623,225
196,225
79,225
