mirna,disease
185,292
340,292
591,292
439,292
678,292
190,292
176,292
297,292
137,292
512,292
658,292
384,292
453,292
135,292
400,292
392,292
87,292
597,292
447,292
320,292
0,292
159,292
442,292
266,292
558,292
134,292
244,292
296,292
30,292
231,292
458,292
101,292
319,292
416,292
488,292
267,292
501,292
19,292
263,292
314,292
565,292
105,292
572,292
25,292
97,292
654,292
648,292
217,292
328,292
373,292
212,292
543,292
541,292
687,292
411,292
70,292
222,292
399,292
486,292
235,292
219,292
538,292
527,292
226,292
184,292
402,292
494,292
567,292
548,292
86,292
405,292
107,292
702,292
473,292
449,149
86,149
405,149
596,149
373,149
107,149
488,149
212,149
170,149
621,149
147,149
366,149
610,149
168,149
101,149
364,149
640,149
178,149
220,149
693,149
512,149
244,149
184,149
631,149
681,149
30,149
526,149
64,149
231,149
190,149
263,149
650,149
87,149
232,149
148,149
117,149
1,149
70,149
685,149
0,149
505,149
159,149
200,149
657,149
145,149
50,149
283,149
431,149
419,149
591,149
439,149
611,149
387,149
684,149
142,149
95,149
605,149
416,149
193,149
230,149
12,149
567,149
296,149
340,149
219,149
337,149
466,149
579,149
310,149
619,149
222,149
144,149
678,149
338,149
540,149
186,149
456,149
253,149
75,149
273,149
702,149
392,149
662,149
226,149
385,149
78,149
630,149
192,149
67,149
399,149
616,149
572,149
295,149
458,149
384,149
428,149
91,149
213,149
215,149
291,149
632,149
400,149
249,149
183,149
646,149
499,149
578,149
27,149
453,149
185,149
266,149
565,149
105,149
365,149
134,149
600,149
489,149
698,149
128,149
270,149
543,149
504,149
65,149
45,149
648,149
35,149
402,149
494,149
53,149
88,149
430,149
686,149
372,149
570,149
510,149
394,149
401,149
82,149
140,149
321,149
454,149
375,149
554,149
669,149
19,149
139,149
265,149
589,149
207,149
501,149
539,149
69,149
518,149
451,149
368,149
519,149
476,149
112,149
659,149
165,149
307,149
654,149
73,149
590,149
333,149
370,149
440,149
658,149
137,149
712,149
293,149
5,149
208,149
59,149
97,149
210,149
656,149
559,149
267,149
199,149
58,149
18,149
326,149
262,149
331,149
61,149
176,149
318,149
314,149
592,149
62,149
545,149
154,149
391,149
25,149
11,149
187,149
597,149
203,149
312,149
551,149
46,149
408,149
297,149
122,149
320,149
328,149
301,149
478,149
287,149
544,149
534,149
202,149
435,149
447,149
639,149
352,149
377,149
346,149
622,149
302,149
569,149
39,149
38,149
573,149
383,149
248,149
606,149
498,149
604,149
516,149
332,149
459,149
102,149
546,149
509,149
388,149
555,149
433,149
85,149
323,149
26,149
655,149
699,149
104,149
339,149
306,149
635,149
298,149
9,149
113,149
465,149
425,149
233,149
558,149
609,149
214,149
603,149
343,149
418,149
153,149
49,149
697,149
588,149
406,149
448,149
442,149
548,149
711,149
613,149
81,149
14,149
356,149
204,149
303,149
21,149
240,149
707,149
705,149
235,149
687,149
174,149
28,149
562,149
462,149
120,149
324,149
169,149
319,149
542,149
437,149
276,149
294,149
92,149
660,149
96,149
691,149
115,149
667,149
668,149
638,149
473,149
51,149
119,149
258,149
530,149
79,149
367,149
520,149
470,149
535,149
389,149
706,149
2,149
330,149
161,149
536,149
653,149
34,149
47,149
696,149
196,149
44,149
455,149
301,13
449,13
559,13
373,13
512,13
365,13
697,13
89,13
153,13
139,13
319,13
244,13
705,13
501,13
400,13
494,13
569,13
591,13
185,13
307,13
451,13
687,13
19,13
394,13
447,13
520,13
0,13
340,13
184,13
631,13
442,13
565,13
425,13
190,13
320,13
219,13
314,13
107,13
159,13
392,13
175,13
191,13
589,13
596,13
296,13
266,13
295,13
25,13
549,13
402,13
439,13
412,13
80,13
231,13
309,13
212,13
30,13
207,13
134,13
86,13
405,13
70,13
338,13
382,13
648,13
105,13
357,13
579,13
310,13
249,13
684,13
548,13
49,13
263,13
64,13
512,138
407,138
212,138
185,138
328,138
190,138
591,138
267,138
296,138
159,138
565,138
105,138
501,138
86,138
219,138
428,138
559,138
147,138
425,138
442,138
340,138
19,221
700,221
200,221
215,221
159,221
190,221
263,221
244,221
705,221
70,221
352,221
591,221
293,221
5,221
139,221
534,221
340,221
451,221
373,221
654,221
686,221
104,221
144,221
685,221
226,221
107,221
596,221
439,221
678,221
337,221
328,221
193,221
521,221
310,221
302,221
367,221
241,221
471,221
219,221
559,221
11,221
176,221
231,221
558,221
197,221
249,221
0,221
449,221
212,221
550,221
295,221
25,221
147,221
301,221
387,221
320,221
579,221
402,221
400,221
494,221
309,221
392,221
184,221
631,221
64,221
536,221
319,221
488,221
466,221
230,221
603,221
220,221
26,221
433,221
416,221
155,221
62,221
30,221
85,221
512,221
297,221
407,221
213,221
58,221
610,221
86,221
405,221
526,221
630,221
45,221
530,221
140,221
565,221
650,221
399,221
142,221
493,221
